order_line_id,message_id,allocation_date,customer_id,product_id,raw_product_text,requested_quantity,unit,requested_quantity_kg,requested_grade,delivery_date,substitution_allowed,notes
O0000035,M000021,2025-01-02,C010,P03,cuke,3.0,crate,36.0,A,2025-01-02,False,synthetic order line
O0000036,M000023,2025-01-02,C012,P04,strawberries,12.0,kg,12.0,A,2025-01-02,False,synthetic order line
O0000037,M000013,2025-01-02,C002,P04,strawberry,3.0,kg,3.0,A,2025-01-02,False,synthetic order line
O0000038,M000016,2025-01-02,C005,P04,berries,14.0,kg,14.0,B,2025-01-02,True,synthetic order line
O0000039,M000014,2025-01-02,C003,P04,berries,10.0,kg,10.0,A,2025-01-02,False,synthetic order line
O0000040,M000019,2025-01-02,C008,P04,strawberry,1.0,crate,6.0,B,2025-01-02,False,synthetic order line
O0000041,M000020,2025-01-02,C009,P05,peppers,16.0,kg,16.0,A,2025-01-02,False,synthetic order line
O0000042,M000014,2025-01-02,C003,P05,capsicum,10.0,kg,10.0,A,2025-01-02,False,synthetic order line
O0000043,M000018,2025-01-02,C007,P05,bell pepper,3.0,box,15.0,B,2025-01-02,False,synthetic order line
O0000044,M000013,2025-01-02,C002,P05,peppers,12.0,kg,12.0,B,2025-01-02,True,synthetic order line
O0000045,M000013,2025-01-02,C002,P06,spinach,2.0,box,6.0,A,2025-01-02,False,synthetic order line
O0000046,M000019,2025-01-02,C008,P06,spin,2.0,crate,12.0,B,2025-01-02,True,synthetic order line
O0000047,M000017,2025-01-02,C006,P06,spinach,24.0,kg,24.0,A,2025-01-02,False,synthetic order line
O0000048,M000013,2025-01-02,C002,P07,car,12.0,kg,12.0,B,2025-01-02,False,synthetic order line
O0000049,M000022,2025-01-02,C011,P07,carrot,34.0,kg,34.0,B,2025-01-02,False,synthetic order line
O0000050,M000014,2025-01-02,C003,P07,carrots,1.0,box,8.0,A,2025-01-02,False,synthetic order line
O0000051,M000016,2025-01-02,C005,P07,carrots,20.0,kg,20.0,A,2025-01-02,True,synthetic order line
O0000052,M000017,2025-01-02,C006,P07,carrots,2.0,box,16.0,B,2025-01-02,True,synthetic order line
O0000053,M000018,2025-01-02,C007,P08,broc,20.0,kg,20.0,B,2025-01-02,False,synthetic order line
O0000054,M000015,2025-01-02,C004,P08,broc,15.0,kg,15.0,B,2025-01-02,True,synthetic order line
O0000055,M000033,2025-01-03,C010,P01,tomato,13.0,kg,13.0,A,2025-01-03,False,synthetic order line
O0000056,M000028,2025-01-03,C005,P01,tomato,17.0,box,85.0,A,2025-01-03,False,synthetic order line
O0000057,M000028,2025-01-03,C005,P02,lettuce,15.0,box,60.0,A,2025-01-03,False,synthetic order line
O0000058,M000029,2025-01-03,C006,P02,lettuce,3.0,crate,24.0,B,2025-01-03,True,synthetic order line
O0000059,M000024,2025-01-03,C001,P02,lettuce,27.0,kg,27.0,B,2025-01-03,False,synthetic order line
O0000060,M000035,2025-01-03,C012,P03,cuke,49.0,kg,49.0,A,2025-01-03,False,synthetic order line
O0000061,M000033,2025-01-03,C010,P03,cuke,1.0,crate,12.0,B,2025-01-03,True,synthetic order line
O0000062,M000032,2025-01-03,C009,P03,cucumbers,21.0,kg,21.0,A,2025-01-03,False,synthetic order line
O0000063,M000034,2025-01-03,C011,P03,cucumbers,1.0,crate,12.0,B,2025-01-03,False,synthetic order line
O0000064,M000025,2025-01-03,C002,P03,cuke,4.0,box,24.0,B,2025-01-03,True,synthetic order line
O0000065,M000033,2025-01-03,C010,P04,strawberry,20.0,kg,20.0,A,2025-01-03,False,synthetic order line
O0000066,M000032,2025-01-03,C009,P04,strawberries,39.0,kg,39.0,B,2025-01-03,True,synthetic order line
O0000067,M000025,2025-01-03,C002,P05,peppers,16.0,kg,16.0,A,2025-01-03,False,synthetic order line
O0000068,M000026,2025-01-03,C003,P05,capsicum,4.0,crate,40.0,A,2025-01-03,False,synthetic order line
O0000069,M000035,2025-01-03,C012,P05,capsicum,12.0,kg,12.0,A,2025-01-03,True,synthetic order line
O0000070,M000032,2025-01-03,C009,P06,spinach,1.0,box,3.0,B,2025-01-03,True,synthetic order line
O0000071,M000029,2025-01-03,C006,P06,spinach,3.0,kg,3.0,B,2025-01-03,True,synthetic order line
O0000072,M000035,2025-01-03,C012,P06,spinach,6.0,kg,6.0,A,2025-01-03,False,synthetic order line
O0000073,M000027,2025-01-03,C004,P06,spin,6.0,crate,36.0,A,2025-01-03,False,synthetic order line
O0000074,M000030,2025-01-03,C007,P06,spin,2.0,crate,12.0,B,2025-01-03,True,synthetic order line
O0000075,M000032,2025-01-03,C009,P07,carrots,16.0,kg,16.0,A,2025-01-03,False,synthetic order line
O0000076,M000029,2025-01-03,C006,P07,carrot,2.0,box,16.0,B,2025-01-03,True,synthetic order line
O0000077,M000027,2025-01-03,C004,P07,car,15.0,kg,15.0,B,2025-01-03,True,synthetic order line
O0000078,M000035,2025-01-03,C012,P07,carrot,3.0,box,24.0,B,2025-01-03,False,synthetic order line
O0000079,M000033,2025-01-03,C010,P07,car,40.0,kg,40.0,B,2025-01-03,False,synthetic order line
O0000080,M000033,2025-01-03,C010,P08,broccoli,74.0,kg,74.0,A,2025-01-03,True,synthetic order line
O0000081,M000031,2025-01-03,C008,P08,broccoli,1.0,box,5.0,A,2025-01-03,False,synthetic order line
O0000082,M000027,2025-01-03,C004,P08,brocc,14.0,kg,14.0,B,2025-01-03,False,synthetic order line
O0000083,M000039,2025-01-04,C004,P01,tomato,15.0,kg,15.0,A,2025-01-04,False,synthetic order line
O0000084,M000046,2025-01-04,C011,P01,tomato,1.0,box,5.0,B,2025-01-04,True,synthetic order line
O0000085,M000038,2025-01-04,C003,P01,tomato,38.0,kg,38.0,A,2025-01-04,True,synthetic order line
O0000086,M000037,2025-01-04,C002,P01,tomato,14.0,kg,14.0,A,2025-01-04,False,synthetic order line
O0000087,M000042,2025-01-04,C007,P01,tomatoes,10.0,box,50.0,A,2025-01-04,False,synthetic order line
O0000088,M000042,2025-01-04,C007,P02,lett,7.0,kg,7.0,A,2025-01-04,False,synthetic order line
O0000089,M000036,2025-01-04,C001,P02,lettuce,36.0,kg,36.0,B,2025-01-04,True,synthetic order line
O0000090,M000036,2025-01-04,C001,P03,cuke,6.0,crate,72.0,A,2025-01-04,True,synthetic order line
O0000091,M000044,2025-01-04,C009,P03,cucumbers,46.0,kg,46.0,A,2025-01-04,False,synthetic order line
O0000092,M000042,2025-01-04,C007,P04,strawberry,26.0,kg,26.0,A,2025-01-04,False,synthetic order line
O0000093,M000043,2025-01-04,C008,P04,berries,67.0,kg,67.0,A,2025-01-04,False,synthetic order line
O0000094,M000042,2025-01-04,C007,P05,bell pepper,3.0,crate,30.0,B,2025-01-04,True,synthetic order line
O0000095,M000041,2025-01-04,C006,P05,peppers,12.0,box,60.0,A,2025-01-04,False,synthetic order line
O0000096,M000043,2025-01-04,C008,P06,leaf spinach,41.0,kg,41.0,A,2025-01-04,False,synthetic order line
O0000097,M000044,2025-01-04,C009,P06,spin,15.0,box,45.0,B,2025-01-04,True,synthetic order line
O0000098,M000047,2025-01-04,C012,P06,leaf spinach,26.0,kg,26.0,B,2025-01-04,True,synthetic order line
O0000099,M000038,2025-01-04,C003,P07,car,55.0,kg,55.0,A,2025-01-04,True,synthetic order line
O0000100,M000045,2025-01-04,C010,P07,carrot,4.0,box,32.0,A,2025-01-04,False,synthetic order line
O0000101,M000036,2025-01-04,C001,P08,brocc,19.0,kg,19.0,A,2025-01-04,False,synthetic order line
O0000102,M000040,2025-01-04,C005,P08,brocc,4.0,kg,4.0,A,2025-01-04,True,synthetic order line
O0000103,M000039,2025-01-04,C004,P08,broccoli,29.0,kg,29.0,A,2025-01-04,False,synthetic order line
O0000104,M000051,2025-01-05,C004,P01,tomato,4.0,box,20.0,B,2025-01-05,True,synthetic order line
O0000105,M000055,2025-01-05,C008,P01,tomato,33.0,kg,33.0,B,2025-01-05,False,synthetic order line
O0000106,M000050,2025-01-05,C003,P01,tomato,3.0,kg,3.0,B,2025-01-05,True,synthetic order line
O0000107,M000057,2025-01-05,C011,P01,tomato,19.0,kg,19.0,B,2025-01-05,True,synthetic order line
O0000108,M000056,2025-01-05,C009,P01,tomatoes,1.0,crate,10.0,B,2025-01-05,False,synthetic order line
O0000109,M000050,2025-01-05,C003,P02,lettuce,6.0,box,24.0,A,2025-01-05,False,synthetic order line
O0000110,M000058,2025-01-05,C012,P02,lettuce,13.0,kg,13.0,A,2025-01-05,False,synthetic order line
O0000111,M000056,2025-01-05,C009,P02,lettuce,16.0,kg,16.0,B,2025-01-05,True,synthetic order line
O0000112,M000048,2025-01-05,C001,P02,lett,25.0,kg,25.0,B,2025-01-05,True,synthetic order line
O0000113,M000051,2025-01-05,C004,P02,lettuces,22.0,kg,22.0,A,2025-01-05,False,synthetic order line
O0000114,M000055,2025-01-05,C008,P03,cucumber,63.0,kg,63.0,B,2025-01-05,True,synthetic order line
O0000115,M000058,2025-01-05,C012,P03,cuke,3.0,kg,3.0,B,2025-01-05,True,synthetic order line
O0000116,M000057,2025-01-05,C011,P03,cucumber,14.0,box,84.0,B,2025-01-05,False,synthetic order line
O0000117,M000056,2025-01-05,C009,P03,cucumbers,20.0,kg,20.0,A,2025-01-05,False,synthetic order line
O0000118,M000050,2025-01-05,C003,P03,cucumbers,25.0,kg,25.0,B,2025-01-05,False,synthetic order line
O0000119,M000048,2025-01-05,C001,P04,strawberry,15.0,kg,15.0,A,2025-01-05,False,synthetic order line
O0000120,M000050,2025-01-05,C003,P04,strawberry,13.0,crate,78.0,B,2025-01-05,True,synthetic order line
O0000121,M000053,2025-01-05,C006,P04,strawberry,3.0,kg,3.0,A,2025-01-05,True,synthetic order line
O0000122,M000054,2025-01-05,C007,P05,capsicum,3.0,kg,3.0,A,2025-01-05,False,synthetic order line
O0000123,M000053,2025-01-05,C006,P05,peppers,32.0,kg,32.0,A,2025-01-05,True,synthetic order line
O0000124,M000055,2025-01-05,C008,P05,bell pepper,12.0,kg,12.0,B,2025-01-05,True,synthetic order line
O0000125,M000048,2025-01-05,C001,P05,bell pepper,1.0,box,5.0,B,2025-01-05,True,synthetic order line
O0000126,M000058,2025-01-05,C012,P05,bell pepper,13.0,kg,13.0,A,2025-01-05,False,synthetic order line
O0000127,M000054,2025-01-05,C007,P06,leaf spinach,8.0,box,24.0,B,2025-01-05,True,synthetic order line
O0000128,M000058,2025-01-05,C012,P06,spinach,7.0,kg,7.0,A,2025-01-05,False,synthetic order line
O0000129,M000048,2025-01-05,C001,P06,spinach,8.0,kg,8.0,A,2025-01-05,False,synthetic order line
O0000130,M000049,2025-01-05,C002,P07,car,3.0,box,24.0,A,2025-01-05,True,synthetic order line
O0000131,M000058,2025-01-05,C012,P07,carrots,5.0,box,40.0,B,2025-01-05,True,synthetic order line
O0000132,M000048,2025-01-05,C001,P07,car,5.0,kg,5.0,A,2025-01-05,False,synthetic order line
O0000133,M000052,2025-01-05,C005,P07,car,5.0,kg,5.0,B,2025-01-05,True,synthetic order line
O0000134,M000057,2025-01-05,C011,P07,car,21.0,kg,21.0,A,2025-01-05,True,synthetic order line
O0000135,M000054,2025-01-05,C007,P08,broc,18.0,kg,18.0,B,2025-01-05,True,synthetic order line
O0000136,M000055,2025-01-05,C008,P08,broccoli,66.0,kg,66.0,B,2025-01-05,True,synthetic order line
O0000137,M000049,2025-01-05,C002,P08,broccoli,51.0,kg,51.0,B,2025-01-05,False,synthetic order line
O0000138,M000062,2025-01-06,C004,P01,toms,1.0,box,5.0,A,2025-01-06,False,synthetic order line
O0000139,M000061,2025-01-06,C003,P01,tomato,32.0,kg,32.0,A,2025-01-06,False,synthetic order line
O0000140,M000065,2025-01-06,C007,P01,tomato,20.0,kg,20.0,A,2025-01-06,False,synthetic order line
O0000141,M000070,2025-01-06,C012,P01,tomato,25.0,kg,25.0,A,2025-01-06,False,synthetic order line
O0000142,M000067,2025-01-06,C009,P01,toms,6.0,kg,6.0,A,2025-01-06,False,synthetic order line
O0000143,M000066,2025-01-06,C008,P02,lettuce,20.0,kg,20.0,B,2025-01-06,True,synthetic order line
O0000144,M000070,2025-01-06,C012,P02,lettuce,3.0,box,12.0,A,2025-01-06,False,synthetic order line
O0000145,M000069,2025-01-06,C011,P02,lett,66.0,kg,66.0,A,2025-01-06,False,synthetic order line
O0000146,M000068,2025-01-06,C010,P03,cucumber,37.0,kg,37.0,B,2025-01-06,True,synthetic order line
O0000147,M000066,2025-01-06,C008,P03,cucumbers,42.0,kg,42.0,B,2025-01-06,False,synthetic order line
O0000148,M000062,2025-01-06,C004,P03,cuke,3.0,box,18.0,B,2025-01-06,False,synthetic order line
O0000149,M000061,2025-01-06,C003,P03,cucumbers,28.0,kg,28.0,A,2025-01-06,False,synthetic order line
O0000150,M000063,2025-01-06,C005,P03,cuke,19.0,kg,19.0,B,2025-01-06,True,synthetic order line
O0000151,M000069,2025-01-06,C011,P04,strawberry,15.0,kg,15.0,A,2025-01-06,False,synthetic order line
O0000152,M000061,2025-01-06,C003,P04,strawberry,15.0,kg,15.0,B,2025-01-06,True,synthetic order line
O0000153,M000064,2025-01-06,C006,P04,berries,3.0,kg,3.0,A,2025-01-06,False,synthetic order line
O0000154,M000059,2025-01-06,C001,P05,bell pepper,13.0,kg,13.0,B,2025-01-06,True,synthetic order line
O0000155,M000061,2025-01-06,C003,P05,peppers,2.0,crate,20.0,A,2025-01-06,False,synthetic order line
O0000156,M000062,2025-01-06,C004,P05,capsicum,9.0,kg,9.0,B,2025-01-06,False,synthetic order line
O0000157,M000067,2025-01-06,C009,P06,spin,4.0,crate,24.0,B,2025-01-06,True,synthetic order line
O0000158,M000065,2025-01-06,C007,P06,spinach,13.0,kg,13.0,A,2025-01-06,False,synthetic order line
O0000159,M000067,2025-01-06,C009,P07,car,7.0,kg,7.0,A,2025-01-06,False,synthetic order line
O0000160,M000061,2025-01-06,C003,P07,car,23.0,kg,23.0,A,2025-01-06,False,synthetic order line
O0000161,M000063,2025-01-06,C005,P07,carrots,5.0,crate,80.0,B,2025-01-06,True,synthetic order line
O0000162,M000062,2025-01-06,C004,P08,broccoli,17.0,kg,17.0,B,2025-01-06,True,synthetic order line
O0000163,M000068,2025-01-06,C010,P08,broccoli,22.0,kg,22.0,B,2025-01-06,True,synthetic order line
O0000164,M000060,2025-01-06,C002,P08,broc,29.0,kg,29.0,B,2025-01-06,False,synthetic order line
O0000165,M000061,2025-01-06,C003,P08,broc,34.0,kg,34.0,A,2025-01-06,False,synthetic order line
O0000166,M000065,2025-01-06,C007,P08,broc,6.0,kg,6.0,B,2025-01-06,True,synthetic order line
O0000167,M000080,2025-01-07,C010,P01,toms,10.0,kg,10.0,B,2025-01-07,False,synthetic order line
O0000168,M000079,2025-01-07,C009,P01,tomato,4.0,kg,4.0,B,2025-01-07,False,synthetic order line
O0000169,M000078,2025-01-07,C008,P01,tomatoes,14.0,kg,14.0,A,2025-01-07,False,synthetic order line
O0000170,M000071,2025-01-07,C001,P01,tomato,54.0,kg,54.0,B,2025-01-07,False,synthetic order line
O0000171,M000081,2025-01-07,C011,P02,lettuces,13.0,kg,13.0,B,2025-01-07,True,synthetic order line
O0000172,M000079,2025-01-07,C009,P02,lettuces,6.0,kg,6.0,A,2025-01-07,False,synthetic order line
O0000173,M000076,2025-01-07,C006,P02,lett,20.0,kg,20.0,A,2025-01-07,False,synthetic order line
O0000174,M000080,2025-01-07,C010,P02,lettuce,21.0,kg,21.0,B,2025-01-07,True,synthetic order line
O0000175,M000073,2025-01-07,C003,P02,lett,3.0,kg,3.0,A,2025-01-07,False,synthetic order line
O0000176,M000071,2025-01-07,C001,P03,cucumbers,58.0,kg,58.0,B,2025-01-07,False,synthetic order line
O0000177,M000072,2025-01-07,C002,P03,cucumbers,17.0,kg,17.0,B,2025-01-07,True,synthetic order line
O0000178,M000078,2025-01-07,C008,P03,cucumbers,23.0,kg,23.0,B,2025-01-07,False,synthetic order line
O0000179,M000080,2025-01-07,C010,P03,cucumbers,2.0,box,12.0,A,2025-01-07,False,synthetic order line
O0000180,M000078,2025-01-07,C008,P04,strawberries,7.0,kg,7.0,A,2025-01-07,False,synthetic order line
O0000181,M000076,2025-01-07,C006,P04,strawberries,1.0,crate,6.0,B,2025-01-07,True,synthetic order line
O0000182,M000080,2025-01-07,C010,P04,strawberries,3.0,box,9.0,A,2025-01-07,False,synthetic order line
O0000183,M000071,2025-01-07,C001,P04,strawberry,13.0,kg,13.0,B,2025-01-07,True,synthetic order line
O0000184,M000072,2025-01-07,C002,P04,strawberry,6.0,kg,6.0,B,2025-01-07,True,synthetic order line
O0000185,M000077,2025-01-07,C007,P05,peppers,4.0,crate,40.0,A,2025-01-07,False,synthetic order line
O0000186,M000073,2025-01-07,C003,P05,bell pepper,1.0,crate,10.0,B,2025-01-07,True,synthetic order line
O0000187,M000076,2025-01-07,C006,P05,capsicum,2.0,box,10.0,A,2025-01-07,False,synthetic order line
O0000188,M000074,2025-01-07,C004,P06,spin,9.0,kg,9.0,A,2025-01-07,False,synthetic order line
O0000189,M000075,2025-01-07,C005,P06,spinach,15.0,kg,15.0,B,2025-01-07,False,synthetic order line
O0000190,M000071,2025-01-07,C001,P06,leaf spinach,28.0,kg,28.0,B,2025-01-07,False,synthetic order line
O0000191,M000080,2025-01-07,C010,P06,spinach,7.0,kg,7.0,B,2025-01-07,True,synthetic order line
O0000192,M000079,2025-01-07,C009,P06,spin,3.0,crate,18.0,B,2025-01-07,False,synthetic order line
O0000193,M000081,2025-01-07,C011,P07,carrot,7.0,box,56.0,A,2025-01-07,False,synthetic order line
O0000194,M000076,2025-01-07,C006,P07,carrot,4.0,crate,64.0,B,2025-01-07,True,synthetic order line
O0000195,M000078,2025-01-07,C008,P08,broc,1.0,crate,10.0,A,2025-01-07,False,synthetic order line
O0000196,M000074,2025-01-07,C004,P08,brocc,13.0,kg,13.0,A,2025-01-07,True,synthetic order line
O0000197,M000077,2025-01-07,C007,P08,broccoli,19.0,kg,19.0,B,2025-01-07,True,synthetic order line
O0000198,M000073,2025-01-07,C003,P08,brocc,8.0,kg,8.0,B,2025-01-07,True,synthetic order line
O0000199,M000076,2025-01-07,C006,P08,broccoli,14.0,kg,14.0,A,2025-01-07,False,synthetic order line
O0000200,M000088,2025-01-08,C008,P01,toms,17.0,kg,17.0,B,2025-01-08,False,synthetic order line
O0000201,M000086,2025-01-08,C005,P01,tomato,19.0,kg,19.0,B,2025-01-08,True,synthetic order line
O0000202,M000087,2025-01-08,C006,P01,tomato,12.0,box,60.0,A,2025-01-08,False,synthetic order line
O0000203,M000089,2025-01-08,C009,P01,tomatoes,45.0,kg,45.0,A,2025-01-08,False,synthetic order line
O0000204,M000090,2025-01-08,C010,P01,tomatoes,11.0,kg,11.0,A,2025-01-08,False,synthetic order line
O0000205,M000082,2025-01-08,C001,P02,lettuce,4.0,box,16.0,B,2025-01-08,True,synthetic order line
O0000206,M000087,2025-01-08,C006,P02,lett,27.0,kg,27.0,A,2025-01-08,False,synthetic order line
O0000207,M000092,2025-01-08,C012,P02,lettuce,11.0,kg,11.0,B,2025-01-08,False,synthetic order line
O0000208,M000082,2025-01-08,C001,P03,cuke,7.0,kg,7.0,B,2025-01-08,True,synthetic order line
O0000209,M000090,2025-01-08,C010,P03,cucumbers,27.0,kg,27.0,B,2025-01-08,True,synthetic order line
O0000210,M000091,2025-01-08,C011,P03,cucumbers,4.0,crate,48.0,B,2025-01-08,True,synthetic order line
O0000211,M000088,2025-01-08,C008,P03,cucumbers,2.0,box,12.0,A,2025-01-08,False,synthetic order line
O0000212,M000086,2025-01-08,C005,P03,cuke,12.0,kg,12.0,A,2025-01-08,False,synthetic order line
O0000213,M000086,2025-01-08,C005,P04,berries,10.0,box,30.0,B,2025-01-08,True,synthetic order line
O0000214,M000083,2025-01-08,C002,P04,strawberries,1.0,crate,6.0,B,2025-01-08,False,synthetic order line
O0000215,M000091,2025-01-08,C011,P04,strawberries,6.0,kg,6.0,B,2025-01-08,True,synthetic order line
O0000216,M000092,2025-01-08,C012,P05,peppers,15.0,kg,15.0,A,2025-01-08,False,synthetic order line
O0000217,M000085,2025-01-08,C004,P05,capsicum,19.0,kg,19.0,B,2025-01-08,False,synthetic order line
O0000218,M000084,2025-01-08,C003,P05,peppers,71.0,kg,71.0,B,2025-01-08,True,synthetic order line
O0000219,M000086,2025-01-08,C005,P06,spin,6.0,box,18.0,B,2025-01-08,True,synthetic order line
O0000220,M000084,2025-01-08,C003,P06,leaf spinach,12.0,kg,12.0,A,2025-01-08,False,synthetic order line
O0000221,M000092,2025-01-08,C012,P06,spin,8.0,box,24.0,A,2025-01-08,False,synthetic order line
O0000222,M000089,2025-01-08,C009,P06,spin,7.0,kg,7.0,B,2025-01-08,True,synthetic order line
O0000223,M000087,2025-01-08,C006,P06,spinach,6.0,kg,6.0,B,2025-01-08,True,synthetic order line
O0000224,M000085,2025-01-08,C004,P07,car,8.0,kg,8.0,B,2025-01-08,True,synthetic order line
O0000225,M000087,2025-01-08,C006,P07,carrots,38.0,kg,38.0,B,2025-01-08,False,synthetic order line
O0000226,M000083,2025-01-08,C002,P07,carrots,3.0,box,24.0,A,2025-01-08,False,synthetic order line
O0000227,M000091,2025-01-08,C011,P07,carrot,88.0,kg,88.0,A,2025-01-08,False,synthetic order line
O0000228,M000088,2025-01-08,C008,P08,broc,4.0,box,20.0,B,2025-01-08,True,synthetic order line
O0000229,M000090,2025-01-08,C010,P08,broc,15.0,kg,15.0,A,2025-01-08,False,synthetic order line
O0000230,M000085,2025-01-08,C004,P08,broccoli,3.0,box,15.0,A,2025-01-08,False,synthetic order line
O0000231,M000083,2025-01-08,C002,P08,brocc,21.0,kg,21.0,A,2025-01-08,False,synthetic order line
O0000232,M000094,2025-01-09,C002,P01,tomato,8.0,crate,80.0,A,2025-01-09,False,synthetic order line
O0000233,M000097,2025-01-09,C005,P01,tomato,59.0,kg,59.0,A,2025-01-09,False,synthetic order line
O0000234,M000097,2025-01-09,C005,P02,lettuces,31.0,kg,31.0,A,2025-01-09,False,synthetic order line
O0000235,M000098,2025-01-09,C006,P02,lettuce,26.0,kg,26.0,A,2025-01-09,False,synthetic order line
O0000236,M000094,2025-01-09,C002,P02,lettuce,6.0,box,24.0,A,2025-01-09,False,synthetic order line
O0000237,M000102,2025-01-09,C010,P02,lett,8.0,kg,8.0,B,2025-01-09,True,synthetic order line
O0000238,M000100,2025-01-09,C008,P02,lett,20.0,kg,20.0,B,2025-01-09,False,synthetic order line
O0000239,M000104,2025-01-09,C012,P03,cucumbers,39.0,kg,39.0,A,2025-01-09,False,synthetic order line
O0000240,M000100,2025-01-09,C008,P03,cucumber,55.0,kg,55.0,B,2025-01-09,True,synthetic order line
O0000241,M000102,2025-01-09,C010,P04,strawberries,3.0,crate,18.0,A,2025-01-09,False,synthetic order line
O0000242,M000093,2025-01-09,C001,P04,strawberry,2.0,box,6.0,B,2025-01-09,True,synthetic order line
O0000243,M000099,2025-01-09,C007,P04,berries,24.0,kg,24.0,A,2025-01-09,False,synthetic order line
O0000244,M000096,2025-01-09,C004,P04,berries,3.0,kg,3.0,A,2025-01-09,True,synthetic order line
O0000245,M000100,2025-01-09,C008,P04,berries,2.0,box,6.0,B,2025-01-09,True,synthetic order line
O0000246,M000095,2025-01-09,C003,P05,peppers,26.0,kg,26.0,B,2025-01-09,True,synthetic order line
O0000247,M000103,2025-01-09,C011,P05,capsicum,14.0,kg,14.0,B,2025-01-09,True,synthetic order line
O0000248,M000099,2025-01-09,C007,P05,peppers,19.0,kg,19.0,A,2025-01-09,False,synthetic order line
O0000249,M000096,2025-01-09,C004,P05,peppers,19.0,kg,19.0,B,2025-01-09,True,synthetic order line
O0000250,M000099,2025-01-09,C007,P06,spin,21.0,kg,21.0,A,2025-01-09,False,synthetic order line
O0000251,M000095,2025-01-09,C003,P06,leaf spinach,6.0,box,18.0,B,2025-01-09,True,synthetic order line
