supply_id,allocation_date,product_id,supply_grade,age_days,shelf_life_days,usable_quantity_kg,expires_next_day,unit_value_per_kg
S0000032,2025-01-01,P05,B,3,5,3.0,0,4.1
S0000033,2025-01-01,P05,B,4,5,7.0,1,4.1
S0000034,2025-01-01,P06,A,0,3,22.0,0,3.0
S0000035,2025-01-01,P06,A,1,3,7.0,0,3.0
S0000036,2025-01-01,P06,A,2,3,1.0,1,3.0
S0000037,2025-01-01,P06,B,0,3,9.0,0,3.0
S0000038,2025-01-01,P06,B,1,3,5.0,0,3.0
S0000039,2025-01-01,P06,B,2,3,6.0,1,3.0
S0000040,2025-01-01,P07,A,0,7,20.0,0,1.8
S0000041,2025-01-01,P07,A,1,7,17.0,0,1.8
S0000042,2025-01-01,P07,A,2,7,7.0,0,1.8
S0000043,2025-01-01,P07,A,3,7,15.0,0,1.8
S0000044,2025-01-01,P07,A,4,7,12.0,0,1.8
S0000045,2025-01-01,P07,A,5,7,1.0,0,1.8
S0000046,2025-01-01,P07,A,6,7,3.0,1,1.8
S0000047,2025-01-01,P07,B,0,7,7.0,0,1.8
S0000048,2025-01-01,P07,B,1,7,3.0,0,1.8
S0000049,2025-01-01,P07,B,2,7,6.0,0,1.8
S0000050,2025-01-01,P07,B,3,7,1.0,0,1.8
S0000051,2025-01-01,P07,B,5,7,1.0,0,1.8
S0000052,2025-01-01,P07,B,6,7,3.0,1,1.8
S0000053,2025-01-01,P08,A,0,5,19.0,0,3.7
S0000054,2025-01-01,P08,A,1,5,16.0,0,3.7
S0000055,2025-01-01,P08,A,2,5,8.0,0,3.7
S0000056,2025-01-01,P08,A,3,5,6.0,0,3.7
S0000057,2025-01-01,P08,A,4,5,6.0,1,3.7
S0000058,2025-01-01,P08,B,0,5,5.0,0,3.7
S0000059,2025-01-01,P08,B,1,5,5.0,0,3.7
S0000060,2025-01-01,P08,B,2,5,4.0,0,3.7
S0000061,2025-01-02,P01,A,0,3,51.0,0,3.2
S0000062,2025-01-02,P01,A,1,3,37.0,0,3.2
S0000063,2025-01-02,P01,A,2,3,24.0,1,3.2
S0000064,2025-01-02,P01,B,0,3,24.0,0,3.2
S0000065,2025-01-02,P01,B,1,3,14.0,0,3.2
S0000066,2025-01-02,P01,B,2,3,2.0,1,3.2
S0000067,2025-01-02,P02,A,0,3,49.0,0,2.6
S0000068,2025-01-02,P02,A,1,3,13.0,0,2.6
S0000069,2025-01-02,P02,A,2,3,5.0,1,2.6
S0000070,2025-01-02,P02,B,0,3,15.0,0,2.6
S0000071,2025-01-02,P02,B,1,3,8.0,0,2.6
S0000072,2025-01-02,P02,B,2,3,3.0,1,2.6
S0000073,2025-01-02,P03,A,0,4,40.0,0,2.1
S0000074,2025-01-02,P03,A,1,4,20.0,0,2.1
S0000075,2025-01-02,P03,A,2,4,11.0,0,2.1
S0000076,2025-01-02,P03,A,3,4,14.0,1,2.1
S0000077,2025-01-02,P03,B,0,4,6.0,0,2.1
S0000078,2025-01-02,P03,B,1,4,2.0,0,2.1
S0000079,2025-01-02,P03,B,2,4,6.0,0,2.1
S0000080,2025-01-02,P03,B,3,4,1.0,1,2.1
S0000081,2025-01-02,P04,A,0,3,16.0,0,6.8
S0000082,2025-01-02,P04,A,1,3,7.0,0,6.8
S0000083,2025-01-02,P04,A,2,3,3.0,1,6.8
S0000084,2025-01-02,P04,B,0,3,21.0,0,6.8
S0000085,2025-01-02,P04,B,1,3,4.0,0,6.8
S0000086,2025-01-02,P04,B,2,3,1.0,1,6.8
S0000087,2025-01-02,P05,A,0,5,14.0,0,4.1
S0000088,2025-01-02,P05,A,1,5,11.0,0,4.1
S0000089,2025-01-02,P05,A,2,5,4.0,0,4.1
S0000090,2025-01-02,P05,A,3,5,2.0,0,4.1
S0000091,2025-01-02,P05,A,4,5,2.0,1,4.1
S0000092,2025-01-02,P05,B,0,5,7.0,0,4.1
S0000093,2025-01-02,P05,B,1,5,11.0,0,4.1
S0000094,2025-01-02,P05,B,2,5,9.0,0,4.1
S0000095,2025-01-02,P05,B,3,5,2.0,0,4.1
S0000096,2025-01-02,P05,B,4,5,1.0,1,4.1
S0000097,2025-01-02,P06,A,0,3,19.0,0,3.0
S0000098,2025-01-02,P06,A,1,3,13.0,0,3.0
S0000099,2025-01-02,P06,B,0,3,5.0,0,3.0
S0000100,2025-01-02,P06,B,1,3,1.0,0,3.0
S0000101,2025-01-02,P07,A,0,7,24.0,0,1.8
S0000102,2025-01-02,P07,A,1,7,8.0,0,1.8
S0000103,2025-01-02,P07,A,2,7,22.0,0,1.8
S0000104,2025-01-02,P07,A,3,7,14.0,0,1.8
S0000105,2025-01-02,P07,A,4,7,1.0,0,1.8
S0000106,2025-01-02,P07,A,5,7,1.0,0,1.8
S0000107,2025-01-02,P07,A,6,7,6.0,1,1.8
S0000108,2025-01-02,P07,B,0,7,8.0,0,1.8
S0000109,2025-01-02,P07,B,1,7,14.0,0,1.8
S0000110,2025-01-02,P07,B,2,7,2.0,0,1.8
S0000111,2025-01-02,P07,B,3,7,3.0,0,1.8
S0000112,2025-01-02,P07,B,4,7,1.0,0,1.8
S0000113,2025-01-02,P07,B,5,7,1.0,0,1.8
S0000114,2025-01-02,P08,A,0,5,12.0,0,3.7
S0000115,2025-01-02,P08,A,1,5,2.0,0,3.7
S0000116,2025-01-02,P08,A,2,5,2.0,0,3.7
S0000117,2025-01-02,P08,A,3,5,4.0,0,3.7
S0000118,2025-01-02,P08,A,4,5,3.0,1,3.7
S0000119,2025-01-02,P08,B,0,5,10.0,0,3.7
S0000120,2025-01-02,P08,B,1,5,2.0,0,3.7
S0000121,2025-01-02,P08,B,2,5,7.0,0,3.7
S0000122,2025-01-02,P08,B,3,5,1.0,0,3.7
S0000123,2025-01-02,P08,B,4,5,8.0,1,3.7
S0000124,2025-01-03,P01,A,0,3,48.0,0,3.2
S0000125,2025-01-03,P01,A,1,3,12.0,0,3.2
S0000126,2025-01-03,P01,A,2,3,2.0,1,3.2
S0000127,2025-01-03,P01,B,0,3,28.0,0,3.2
S0000128,2025-01-03,P01,B,1,3,10.0,0,3.2
S0000129,2025-01-03,P01,B,2,3,4.0,1,3.2
S0000130,2025-01-03,P02,A,0,3,48.0,0,2.6
S0000131,2025-01-03,P02,A,1,3,27.0,0,2.6
S0000132,2025-01-03,P02,A,2,3,13.0,1,2.6
S0000133,2025-01-03,P02,B,0,3,10.0,0,2.6
S0000134,2025-01-03,P02,B,1,3,5.0,0,2.6
S0000135,2025-01-03,P02,B,2,3,1.0,1,2.6
S0000136,2025-01-03,P03,A,0,4,28.0,0,2.1
S0000137,2025-01-03,P03,A,1,4,17.0,0,2.1
S0000138,2025-01-03,P03,A,2,4,8.0,0,2.1
S0000139,2025-01-03,P03,B,0,4,20.0,0,2.1
S0000140,2025-01-03,P03,B,1,4,14.0,0,2.1
S0000141,2025-01-03,P03,B,2,4,4.0,0,2.1
S0000142,2025-01-03,P03,B,3,4,7.0,1,2.1
S0000143,2025-01-03,P04,A,0,3,25.0,0,6.8
S0000144,2025-01-03,P04,A,1,3,20.0,0,6.8
S0000145,2025-01-03,P04,B,0,3,7.0,0,6.8
S0000146,2025-01-03,P04,B,1,3,1.0,0,6.8
S0000147,2025-01-03,P05,A,0,5,17.0,0,4.1
S0000148,2025-01-03,P05,A,1,5,10.0,0,4.1
S0000149,2025-01-03,P05,A,2,5,19.0,0,4.1
S0000150,2025-01-03,P05,A,3,5,2.0,0,4.1
S0000151,2025-01-03,P05,A,4,5,4.0,1,4.1
S0000152,2025-01-03,P05,B,0,5,5.0,0,4.1
S0000153,2025-01-03,P05,B,1,5,14.0,0,4.1
S0000154,2025-01-03,P05,B,2,5,11.0,0,4.1
S0000155,2025-01-03,P05,B,3,5,2.0,0,4.1
S0000156,2025-01-03,P05,B,4,5,1.0,1,4.1
S0000157,2025-01-03,P06,A,0,3,26.0,0,3.0
S0000158,2025-01-03,P06,A,1,3,8.0,0,3.0
S0000159,2025-01-03,P06,B,0,3,4.0,0,3.0
S0000160,2025-01-03,P06,B,1,3,6.0,0,3.0
S0000161,2025-01-03,P06,B,2,3,3.0,1,3.0
S0000162,2025-01-03,P07,A,0,7,10.0,0,1.8
S0000163,2025-01-03,P07,A,1,7,7.0,0,1.8
S0000164,2025-01-03,P07,A,2,7,8.0,0,1.8
S0000165,2025-01-03,P07,A,3,7,8.0,0,1.8
S0000166,2025-01-03,P07,A,4,7,8.0,0,1.8
S0000167,2025-01-03,P07,A,5,7,1.0,0,1.8
S0000168,2025-01-03,P07,A,6,7,1.0,1,1.8
S0000169,2025-01-03,P07,B,0,7,7.0,0,1.8
S0000170,2025-01-03,P07,B,1,7,7.0,0,1.8
S0000171,2025-01-03,P07,B,2,7,14.0,0,1.8
S0000172,2025-01-03,P07,B,3,7,3.0,0,1.8
S0000173,2025-01-03,P07,B,4,7,7.0,0,1.8
S0000174,2025-01-03,P07,B,5,7,3.0,0,1.8
S0000175,2025-01-03,P08,A,0,5,17.0,0,3.7
S0000176,2025-01-03,P08,A,1,5,11.0,0,3.7
S0000177,2025-01-03,P08,A,2,5,4.0,0,3.7
S0000178,2025-01-03,P08,A,3,5,7.0,0,3.7
S0000179,2025-01-03,P08,A,4,5,1.0,1,3.7
S0000180,2025-01-03,P08,B,0,5,5.0,0,3.7
S0000181,2025-01-03,P08,B,1,5,11.0,0,3.7
S0000182,2025-01-03,P08,B,2,5,2.0,0,3.7
S0000183,2025-01-03,P08,B,3,5,12.0,0,3.7
S0000184,2025-01-04,P01,A,0,3,44.0,0,3.2
S0000185,2025-01-04,P01,A,1,3,22.0,0,3.2
S0000186,2025-01-04,P01,A,2,3,13.0,1,3.2
S0000187,2025-01-04,P01,B,0,3,14.0,0,3.2
S0000188,2025-01-04,P01,B,1,3,18.0,0,3.2
S0000189,2025-01-04,P01,B,2,3,1.0,1,3.2
S0000190,2025-01-04,P02,A,0,3,23.0,0,2.6
S0000191,2025-01-04,P02,A,1,3,17.0,0,2.6
S0000192,2025-01-04,P02,B,0,3,9.0,0,2.6
S0000193,2025-01-04,P02,B,1,3,3.0,0,2.6
S0000194,2025-01-04,P02,B,2,3,4.0,1,2.6
S0000195,2025-01-04,P03,A,0,4,23.0,0,2.1
S0000196,2025-01-04,P03,A,1,4,22.0,0,2.1
S0000197,2025-01-04,P03,A,2,4,21.0,0,2.1
S0000198,2025-01-04,P03,A,3,4,8.0,1,2.1
S0000199,2025-01-04,P03,B,0,4,15.0,0,2.1
S0000200,2025-01-04,P03,B,1,4,26.0,0,2.1
S0000201,2025-01-04,P03,B,2,4,2.0,0,2.1
S0000202,2025-01-04,P03,B,3,4,1.0,1,2.1
S0000203,2025-01-04,P04,A,0,3,13.0,0,6.8
S0000204,2025-01-04,P04,A,1,3,24.0,0,6.8
S0000205,2025-01-04,P04,B,0,3,15.0,0,6.8
S0000206,2025-01-04,P04,B,1,3,11.0,0,6.8
S0000207,2025-01-04,P05,A,0,5,20.0,0,4.1
S0000208,2025-01-04,P05,A,1,5,5.0,0,4.1
S0000209,2025-01-04,P05,A,2,5,7.0,0,4.1
S0000210,2025-01-04,P05,A,3,5,2.0,0,4.1
S0000211,2025-01-04,P05,B,0,5,10.0,0,4.1
S0000212,2025-01-04,P05,B,1,5,8.0,0,4.1
S0000213,2025-01-04,P05,B,2,5,3.0,0,4.1
S0000214,2025-01-04,P05,B,3,5,2.0,0,4.1
S0000215,2025-01-04,P05,B,4,5,1.0,1,4.1
S0000216,2025-01-04,P06,A,0,3,21.0,0,3.0
S0000217,2025-01-04,P06,A,1,3,20.0,0,3.0
S0000218,2025-01-04,P06,A,2,3,7.0,1,3.0
S0000219,2025-01-04,P06,B,0,3,26.0,0,3.0
S0000220,2025-01-04,P06,B,1,3,5.0,0,3.0
S0000221,2025-01-04,P06,B,2,3,6.0,1,3.0
S0000222,2025-01-04,P07,A,0,7,32.0,0,1.8
S0000223,2025-01-04,P07,A,1,7,13.0,0,1.8
S0000224,2025-01-04,P07,A,2,7,30.0,0,1.8
S0000225,2025-01-04,P07,A,3,7,5.0,0,1.8
S0000226,2025-01-04,P07,A,5,7,4.0,0,1.8
S0000227,2025-01-04,P07,B,0,7,5.0,0,1.8
S0000228,2025-01-04,P07,B,1,7,2.0,0,1.8
S0000229,2025-01-04,P07,B,3,7,6.0,0,1.8
S0000230,2025-01-04,P07,B,4,7,1.0,0,1.8
S0000231,2025-01-04,P07,B,6,7,4.0,1,1.8
S0000232,2025-01-04,P08,A,0,5,15.0,0,3.7
S0000233,2025-01-04,P08,A,1,5,5.0,0,3.7
S0000234,2025-01-04,P08,A,2,5,9.0,0,3.7
S0000235,2025-01-04,P08,A,3,5,1.0,0,3.7
S0000236,2025-01-04,P08,A,4,5,2.0,1,3.7
S0000237,2025-01-04,P08,B,0,5,10.0,0,3.7
S0000238,2025-01-04,P08,B,1,5,7.0,0,3.7
S0000239,2025-01-04,P08,B,2,5,5.0,0,3.7
S0000240,2025-01-04,P08,B,3,5,2.0,0,3.7
S0000241,2025-01-04,P08,B,4,5,2.0,1,3.7
S0000242,2025-01-05,P01,A,0,3,42.0,0,3.2
S0000243,2025-01-05,P01,A,1,3,20.0,0,3.2
S0000244,2025-01-05,P01,A,2,3,5.0,1,3.2
S0000245,2025-01-05,P01,B,0,3,27.0,0,3.2
S0000246,2025-01-05,P01,B,1,3,14.0,0,3.2
S0000247,2025-01-05,P01,B,2,3,4.0,1,3.2
S0000248,2025-01-05,P02,A,0,3,27.0,0,2.6
S0000249,2025-01-05,P02,A,1,3,9.0,0,2.6
S0000250,2025-01-05,P02,A,2,3,2.0,1,2.6
S0000251,2025-01-05,P02,B,0,3,14.0,0,2.6
S0000252,2025-01-05,P02,B,1,3,32.0,0,2.6
S0000253,2025-01-05,P02,B,2,3,1.0,1,2.6
S0000254,2025-01-05,P03,A,0,4,35.0,0,2.1
S0000255,2025-01-05,P03,A,1,4,42.0,0,2.1
S0000256,2025-01-05,P03,A,2,4,18.0,0,2.1
S0000257,2025-01-05,P03,A,3,4,9.0,1,2.1
S0000258,2025-01-05,P03,B,0,4,18.0,0,2.1
S0000259,2025-01-05,P03,B,1,4,9.0,0,2.1
S0000260,2025-01-05,P03,B,2,4,7.0,0,2.1
S0000261,2025-01-05,P03,B,3,4,2.0,1,2.1
S0000262,2025-01-05,P04,A,0,3,30.0,0,6.8
S0000263,2025-01-05,P04,A,1,3,17.0,0,6.8
S0000264,2025-01-05,P04,A,2,3,5.0,1,6.8
S0000265,2025-01-05,P04,B,0,3,19.0,0,6.8
S0000266,2025-01-05,P04,B,1,3,3.0,0,6.8
S0000267,2025-01-05,P04,B,2,3,2.0,1,6.8
S0000268,2025-01-05,P05,A,0,5,23.0,0,4.1
S0000269,2025-01-05,P05,A,1,5,11.0,0,4.1
S0000270,2025-01-05,P05,A,2,5,5.0,0,4.1
S0000271,2025-01-05,P05,A,3,5,2.0,0,4.1
S0000272,2025-01-05,P05,B,0,5,6.0,0,4.1
S0000273,2025-01-05,P05,B,1,5,16.0,0,4.1
S0000274,2025-01-05,P05,B,2,5,2.0,0,4.1
S0000275,2025-01-05,P05,B,3,5,2.0,0,4.1
S0000276,2025-01-05,P06,A,0,3,20.0,0,3.0
S0000277,2025-01-05,P06,A,1,3,12.0,0,3.0
S0000278,2025-01-05,P06,A,2,3,6.0,1,3.0
S0000279,2025-01-05,P06,B,0,3,8.0,0,3.0
S0000280,2025-01-05,P06,B,1,3,3.0,0,3.0
S0000281,2025-01-05,P07,A,0,7,14.0,0,1.8
S0000282,2025-01-05,P07,A,1,7,14.0,0,1.8
S0000283,2025-01-05,P07,A,2,7,21.0,0,1.8
S0000284,2025-01-05,P07,A,3,7,17.0,0,1.8
S0000285,2025-01-05,P07,A,4,7,4.0,0,1.8
S0000286,2025-01-05,P07,A,5,7,2.0,0,1.8
S0000287,2025-01-05,P07,A,6,7,1.0,1,1.8
S0000288,2025-01-05,P07,B,0,7,2.0,0,1.8
S0000289,2025-01-05,P07,B,1,7,5.0,0,1.8
S0000290,2025-01-05,P07,B,2,7,11.0,0,1.8
S0000291,2025-01-05,P07,B,3,7,2.0,0,1.8
S0000292,2025-01-05,P07,B,4,7,6.0,0,1.8
S0000293,2025-01-05,P07,B,5,7,2.0,0,1.8
S0000294,2025-01-05,P08,A,0,5,32.0,0,3.7
S0000295,2025-01-05,P08,A,1,5,28.0,0,3.7
S0000296,2025-01-05,P08,A,2,5,3.0,0,3.7
S0000297,2025-01-05,P08,A,3,5,1.0,0,3.7
S0000298,2025-01-05,P08,A,4,5,7.0,1,3.7
S0000299,2025-01-05,P08,B,0,5,7.0,0,3.7
S0000300,2025-01-05,P08,B,1,5,7.0,0,3.7
S0000301,2025-01-05,P08,B,2,5,8.0,0,3.7
S0000302,2025-01-05,P08,B,4,5,5.0,1,3.7
S0000303,2025-01-06,P01,A,0,3,15.0,0,3.2
S0000304,2025-01-06,P01,A,1,3,21.0,0,3.2
S0000305,2025-01-06,P01,A,2,3,9.0,1,3.2
S0000306,2025-01-06,P01,B,0,3,34.0,0,3.2
S0000307,2025-01-06,P01,B,1,3,17.0,0,3.2
S0000308,2025-01-06,P01,B,2,3,5.0,1,3.2
S0000309,2025-01-06,P02,A,0,3,27.0,0,2.6
S0000310,2025-01-06,P02,A,1,3,23.0,0,2.6
S0000311,2025-01-06,P02,A,2,3,14.0,1,2.6
S0000312,2025-01-06,P02,B,0,3,13.0,0,2.6
S0000313,2025-01-06,P02,B,1,3,7.0,0,2.6
S0000314,2025-01-06,P02,B,2,3,3.0,1,2.6
S0000315,2025-01-06,P03,A,0,4,23.0,0,2.1
S0000316,2025-01-06,P03,A,1,4,20.0,0,2.1
S0000317,2025-01-06,P03,A,2,4,17.0,0,2.1
S0000318,2025-01-06,P03,A,3,4,10.0,1,2.1
S0000319,2025-01-06,P03,B,0,4,18.0,0,2.1
S0000320,2025-01-06,P03,B,1,4,7.0,0,2.1
S0000321,2025-01-06,P03,B,2,4,13.0,0,2.1
S0000322,2025-01-06,P03,B,3,4,3.0,1,2.1
S0000323,2025-01-06,P04,A,0,3,26.0,0,6.8
S0000324,2025-01-06,P04,A,1,3,11.0,0,6.8
S0000325,2025-01-06,P04,B,0,3,3.0,0,6.8
S0000326,2025-01-06,P04,B,1,3,6.0,0,6.8
S0000327,2025-01-06,P04,B,2,3,2.0,1,6.8
S0000328,2025-01-06,P05,A,0,5,3.0,0,4.1
S0000329,2025-01-06,P05,A,1,5,22.0,0,4.1
S0000330,2025-01-06,P05,A,2,5,3.0,0,4.1
S0000331,2025-01-06,P05,A,3,5,11.0,0,4.1
S0000332,2025-01-06,P05,A,4,5,6.0,1,4.1
S0000333,2025-01-06,P05,B,0,5,6.0,0,4.1
S0000334,2025-01-06,P05,B,1,5,6.0,0,4.1
S0000335,2025-01-06,P05,B,2,5,2.0,0,4.1
S0000336,2025-01-06,P06,A,0,3,28.0,0,3.0
S0000337,2025-01-06,P06,A,1,3,6.0,0,3.0
S0000338,2025-01-06,P06,A,2,3,3.0,1,3.0
S0000339,2025-01-06,P06,B,0,3,8.0,0,3.0
S0000340,2025-01-06,P06,B,1,3,9.0,0,3.0
S0000341,2025-01-06,P06,B,2,3,7.0,1,3.0
S0000342,2025-01-06,P07,A,0,7,9.0,0,1.8
S0000343,2025-01-06,P07,A,1,7,4.0,0,1.8
S0000344,2025-01-06,P07,A,2,7,12.0,0,1.8
S0000345,2025-01-06,P07,A,3,7,12.0,0,1.8
S0000346,2025-01-06,P07,A,4,7,7.0,0,1.8
S0000347,2025-01-06,P07,B,0,7,17.0,0,1.8
S0000348,2025-01-06,P07,B,1,7,2.0,0,1.8
S0000349,2025-01-06,P07,B,2,7,7.0,0,1.8
S0000350,2025-01-06,P07,B,3,7,7.0,0,1.8
S0000351,2025-01-06,P07,B,4,7,4.0,0,1.8
S0000352,2025-01-06,P07,B,5,7,1.0,0,1.8
S0000353,2025-01-06,P07,B,6,7,1.0,1,1.8
S0000354,2025-01-06,P08,A,0,5,12.0,0,3.7
S0000355,2025-01-06,P08,A,1,5,18.0,0,3.7
S0000356,2025-01-06,P08,A,2,5,25.0,0,3.7
S0000357,2025-01-06,P08,A,3,5,1.0,0,3.7
S0000358,2025-01-06,P08,A,4,5,1.0,1,3.7
S0000359,2025-01-06,P08,B,0,5,9.0,0,3.7
S0000360,2025-01-06,P08,B,1,5,10.0,0,3.7
S0000361,2025-01-06,P08,B,2,5,1.0,0,3.7
S0000362,2025-01-06,P08,B,3,5,3.0,0,3.7
S0000363,2025-01-06,P08,B,4,5,4.0,1,3.7
S0000364,2025-01-07,P01,A,0,3,36.0,0,3.2
S0000365,2025-01-07,P01,A,1,3,12.0,0,3.2
S0000366,2025-01-07,P01,A,2,3,9.0,1,3.2
S0000367,2025-01-07,P01,B,0,3,15.0,0,3.2
S0000368,2025-01-07,P01,B,1,3,3.0,0,3.2
S0000369,2025-01-07,P02,A,0,3,18.0,0,2.6
S0000370,2025-01-07,P02,A,1,3,15.0,0,2.6
S0000371,2025-01-07,P02,A,2,3,1.0,1,2.6
S0000372,2025-01-07,P02,B,0,3,15.0,0,2.6
S0000373,2025-01-07,P02,B,1,3,24.0,0,2.6
S0000374,2025-01-07,P02,B,2,3,3.0,1,2.6
S0000375,2025-01-07,P03,A,0,4,45.0,0,2.1
S0000376,2025-01-07,P03,A,1,4,16.0,0,2.1
S0000377,2025-01-07,P03,A,2,4,14.0,0,2.1
S0000378,2025-01-07,P03,A,3,4,6.0,1,2.1
S0000379,2025-01-07,P03,B,0,4,4.0,0,2.1
S0000380,2025-01-07,P03,B,1,4,6.0,0,2.1
S0000381,2025-01-07,P03,B,2,4,8.0,0,2.1
S0000382,2025-01-07,P04,A,0,3,15.0,0,6.8
S0000383,2025-01-07,P04,A,1,3,10.0,0,6.8
S0000384,2025-01-07,P04,A,2,3,4.0,1,6.8
S0000385,2025-01-07,P04,B,0,3,9.0,0,6.8
S0000386,2025-01-07,P04,B,1,3,7.0,0,6.8
S0000387,2025-01-07,P04,B,2,3,5.0,1,6.8
S0000388,2025-01-07,P05,A,0,5,7.0,0,4.1
S0000389,2025-01-07,P05,A,1,5,22.0,0,4.1
S0000390,2025-01-07,P05,A,2,5,6.0,0,4.1
S0000391,2025-01-07,P05,A,3,5,5.0,0,4.1
S0000392,2025-01-07,P05,A,4,5,2.0,1,4.1
S0000393,2025-01-07,P05,B,0,5,5.0,0,4.1
S0000394,2025-01-07,P05,B,1,5,4.0,0,4.1
S0000395,2025-01-07,P05,B,2,5,3.0,0,4.1
S0000396,2025-01-07,P05,B,3,5,3.0,0,4.1
S0000397,2025-01-07,P06,A,0,3,37.0,0,3.0
S0000398,2025-01-07,P06,A,1,3,5.0,0,3.0
S0000399,2025-01-07,P06,A,2,3,1.0,1,3.0
S0000400,2025-01-07,P06,B,0,3,11.0,0,3.0
S0000401,2025-01-07,P06,B,1,3,3.0,0,3.0
S0000402,2025-01-07,P06,B,2,3,1.0,1,3.0
S0000403,2025-01-07,P07,A,0,7,15.0,0,1.8
S0000404,2025-01-07,P07,A,1,7,4.0,0,1.8
S0000405,2025-01-07,P07,A,2,7,7.0,0,1.8
S0000406,2025-01-07,P07,A,3,7,10.0,0,1.8
S0000407,2025-01-07,P07,A,4,7,4.0,0,1.8
S0000408,2025-01-07,P07,A,5,7,14.0,0,1.8
S0000409,2025-01-07,P07,A,6,7,2.0,1,1.8
S0000410,2025-01-07,P07,B,0,7,12.0,0,1.8
S0000411,2025-01-07,P07,B,1,7,8.0,0,1.8
S0000412,2025-01-07,P07,B,2,7,3.0,0,1.8
S0000413,2025-01-07,P07,B,3,7,1.0,0,1.8
S0000414,2025-01-07,P07,B,4,7,6.0,0,1.8
S0000415,2025-01-07,P07,B,5,7,4.0,0,1.8
S0000416,2025-01-07,P07,B,6,7,2.0,1,1.8
S0000417,2025-01-07,P08,A,0,5,10.0,0,3.7
S0000418,2025-01-07,P08,A,1,5,7.0,0,3.7
S0000419,2025-01-07,P08,A,2,5,6.0,0,3.7
S0000420,2025-01-07,P08,A,4,5,1.0,1,3.7
S0000421,2025-01-07,P08,B,0,5,8.0,0,3.7
S0000422,2025-01-07,P08,B,1,5,10.0,0,3.7
S0000423,2025-01-07,P08,B,2,5,5.0,0,3.7
S0000424,2025-01-07,P08,B,3,5,6.0,0,3.7
S0000425,2025-01-08,P01,A,0,3,50.0,0,3.2
S0000426,2025-01-08,P01,A,1,3,52.0,0,3.2
S0000427,2025-01-08,P01,A,2,3,7.0,1,3.2
S0000428,2025-01-08,P01,B,0,3,18.0,0,3.2
S0000429,2025-01-08,P01,B,1,3,18.0,0,3.2
S0000430,2025-01-08,P01,B,2,3,14.0,1,3.2
S0000431,2025-01-08,P02,A,0,3,18.0,0,2.6
S0000432,2025-01-08,P02,A,1,3,6.0,0,2.6
S0000433,2025-01-08,P02,A,2,3,17.0,1,2.6
S0000434,2025-01-08,P02,B,0,3,7.0,0,2.6
S0000435,2025-01-08,P02,B,1,3,11.0,0,2.6
S0000436,2025-01-08,P02,B,2,3,4.0,1,2.6
S0000437,2025-01-08,P03,A,0,4,12.0,0,2.1
S0000438,2025-01-08,P03,A,1,4,31.0,0,2.1
S0000439,2025-01-08,P03,A,2,4,7.0,0,2.1
S0000440,2025-01-08,P03,A,3,4,10.0,1,2.1
S0000441,2025-01-08,P03,B,0,4,17.0,0,2.1
S0000442,2025-01-08,P03,B,1,4,14.0,0,2.1
S0000443,2025-01-08,P03,B,2,4,3.0,0,2.1
S0000444,2025-01-08,P03,B,3,4,1.0,1,2.1
S0000445,2025-01-08,P04,A,0,3,14.0,0,6.8
S0000446,2025-01-08,P04,A,1,3,20.0,0,6.8
S0000447,2025-01-08,P04,A,2,3,1.0,1,6.8
