allocation_date,condition,order_line_id,message_id,supply_id,customer_id,product_id,supply_grade,requested_grade,delivery_date,objective_unit_score,allocated_quantity_kg,exact_grade
2025-03-02,B0_manual,O0001675,M000692,S0003616,C010,P01,A,A,2025-03-02,,1.0,1
2025-03-02,B0_manual,O0001679,M000692,S0003623,C010,P02,B,B,2025-03-02,,2.0,1
2025-03-02,B0_manual,O0001679,M000692,S0003624,C010,P02,B,B,2025-03-02,,9.0,1
2025-03-02,B0_manual,O0001679,M000692,S0003625,C010,P02,B,B,2025-03-02,,1.0,1
2025-03-02,B0_manual,O0001691,M000693,S0003648,C012,P06,A,A,2025-03-02,,6.0,1
2025-03-02,B0_manual,O0001694,M000693,S0003660,C012,P07,A,A,2025-03-02,,1.0,1
2025-03-02,B1_optimization_only,O0001674,M000690,S0003614,C008,P01,A,A,2025-03-02,8.266666666666667,8.0,1
2025-03-02,B1_optimization_only,O0001675,M000692,S0003614,C010,P01,A,A,2025-03-02,9.466666666666667,28.0,1
2025-03-02,B1_optimization_only,O0001675,M000692,S0003615,C010,P01,A,A,2025-03-02,11.466676666666666,12.0,1
2025-03-02,B1_optimization_only,O0001675,M000692,S0003616,C010,P01,A,A,2025-03-02,26.80002,1.0,1
2025-03-02,B1_optimization_only,O0001673,M000691,S0003618,C009,P01,B,B,2025-03-02,11.666676666666666,13.0,1
2025-03-02,B1_optimization_only,O0001673,M000691,S0003619,C009,P01,B,B,2025-03-02,27.00002,20.0,1
2025-03-02,B1_optimization_only,O0001676,M000687,S0003620,C005,P02,A,A,2025-03-02,8.666666666666666,32.0,1
2025-03-02,B1_optimization_only,O0001676,M000687,S0003621,C005,P02,A,A,2025-03-02,10.666676666666666,10.0,1
2025-03-02,B1_optimization_only,O0001678,M000685,S0003621,C003,P02,A,A,2025-03-02,11.866676666666665,5.0,1
2025-03-02,B1_optimization_only,O0001678,M000685,S0003622,C003,P02,A,A,2025-03-02,27.20002,3.0,1
2025-03-02,B1_optimization_only,O0001677,M000689,S0003623,C007,P02,B,B,2025-03-02,7.866666666666666,14.0,1
2025-03-02,B1_optimization_only,O0001679,M000692,S0003623,C010,P02,B,B,2025-03-02,8.866666666666665,2.0,1
2025-03-02,B1_optimization_only,O0001679,M000692,S0003624,C010,P02,B,B,2025-03-02,10.866676666666665,9.0,1
2025-03-02,B1_optimization_only,O0001679,M000692,S0003625,C010,P02,B,B,2025-03-02,26.20002,1.0,1
2025-03-02,B1_optimization_only,O0001680,M000684,S0003628,C002,P03,A,B,2025-03-02,11.975019999999999,5.0,0
2025-03-02,B1_optimization_only,O0001682,M000686,S0003628,C004,P03,A,A,2025-03-02,11.67502,12.0,1
2025-03-02,B1_optimization_only,O0001680,M000684,S0003629,C002,P03,A,B,2025-03-02,26.60003,1.0,0
2025-03-02,B1_optimization_only,O0001681,M000683,S0003630,C001,P03,B,B,2025-03-02,10.475,20.0,1
2025-03-02,B1_optimization_only,O0001681,M000683,S0003631,C001,P03,B,B,2025-03-02,11.60001,10.0,1
2025-03-02,B1_optimization_only,O0001681,M000683,S0003632,C001,P03,B,B,2025-03-02,13.475019999999999,1.0,1
2025-03-02,B1_optimization_only,O0001681,M000683,S0003633,C001,P03,B,B,2025-03-02,28.10003,6.0,1
2025-03-02,B1_optimization_only,O0001683,M000684,S0003634,C002,P04,A,B,2025-03-02,13.966666666666665,9.0,0
2025-03-02,B1_optimization_only,O0001683,M000684,S0003635,C002,P04,A,B,2025-03-02,15.966676666666665,4.0,0
2025-03-02,B1_optimization_only,O0001684,M000685,S0003635,C003,P04,A,A,2025-03-02,16.066676666666666,23.0,1
2025-03-02,B1_optimization_only,O0001684,M000685,S0003636,C003,P04,A,A,2025-03-02,31.400019999999998,2.0,1
2025-03-02,B1_optimization_only,O0001683,M000684,S0003637,C002,P04,B,B,2025-03-02,15.066666666666665,7.0,1
2025-03-02,B1_optimization_only,O0001683,M000684,S0003638,C002,P04,B,B,2025-03-02,17.066676666666666,13.0,1
2025-03-02,B1_optimization_only,O0001685,M000686,S0003639,C004,P05,A,B,2025-03-02,9.440000000000001,13.0,0
2025-03-02,B1_optimization_only,O0001685,M000686,S0003640,C004,P05,A,B,2025-03-02,10.160010000000002,25.0,0
2025-03-02,B1_optimization_only,O0001686,M000683,S0003640,C001,P05,A,B,2025-03-02,11.96001,6.0,0
2025-03-02,B1_optimization_only,O0001686,M000683,S0003641,C001,P05,A,B,2025-03-02,13.16002,15.0,0
2025-03-02,B1_optimization_only,O0001686,M000683,S0003642,C001,P05,A,B,2025-03-02,14.84003,8.0,0
2025-03-02,B1_optimization_only,O0001686,M000683,S0003643,C001,P05,A,B,2025-03-02,29.00004,4.0,0
2025-03-02,B1_optimization_only,O0001686,M000683,S0003644,C001,P05,B,B,2025-03-02,12.34,4.0,1
2025-03-02,B1_optimization_only,O0001686,M000683,S0003645,C001,P05,B,B,2025-03-02,13.06001,4.0,1
2025-03-02,B1_optimization_only,O0001686,M000683,S0003646,C001,P05,B,B,2025-03-02,14.260019999999999,3.0,1
2025-03-02,B1_optimization_only,O0001686,M000683,S0003647,C001,P05,B,B,2025-03-02,30.10004,1.0,1
2025-03-02,B1_optimization_only,O0001688,M000691,S0003648,C009,P06,A,B,2025-03-02,8.366666666666667,10.0,0
2025-03-02,B1_optimization_only,O0001691,M000693,S0003648,C012,P06,A,A,2025-03-02,7.466666666666667,6.0,1
2025-03-02,B1_optimization_only,O0001688,M000691,S0003649,C009,P06,A,B,2025-03-02,10.366676666666667,2.0,0
2025-03-02,B1_optimization_only,O0001690,M000684,S0003649,C002,P06,A,A,2025-03-02,13.266676666666665,3.0,1
2025-03-02,B1_optimization_only,O0001690,M000684,S0003650,C002,P06,A,A,2025-03-02,28.60002,9.0,1
2025-03-02,B1_optimization_only,O0001687,M000685,S0003651,C003,P06,B,B,2025-03-02,10.266666666666666,8.0,1
2025-03-02,B1_optimization_only,O0001687,M000685,S0003652,C003,P06,B,B,2025-03-02,12.266676666666665,6.0,1
2025-03-02,B1_optimization_only,O0001687,M000685,S0003653,C003,P06,B,B,2025-03-02,27.60002,4.0,1
2025-03-02,B1_optimization_only,O0001692,M000688,S0003654,C006,P07,A,B,2025-03-02,6.022448979591837,14.0,0
2025-03-02,B1_optimization_only,O0001694,M000693,S0003654,C012,P07,A,A,2025-03-02,5.722448979591836,1.0,1
2025-03-02,B1_optimization_only,O0001692,M000688,S0003655,C006,P07,A,B,2025-03-02,6.389805918367347,18.0,0
2025-03-02,B1_optimization_only,O0001692,M000688,S0003656,C006,P07,A,B,2025-03-02,7.002060816326531,15.0,0
2025-03-02,B1_optimization_only,O0001692,M000688,S0003657,C006,P07,A,B,2025-03-02,7.859213673469388,1.0,0
2025-03-02,B1_optimization_only,O0001693,M000689,S0003657,C007,P07,A,A,2025-03-02,8.359213673469387,14.0,1
2025-03-02,B1_optimization_only,O0001693,M000689,S0003658,C007,P07,A,A,2025-03-02,9.461264489795917,7.0,1
2025-03-02,B1_optimization_only,O0001693,M000689,S0003659,C007,P07,A,A,2025-03-02,10.80821326530612,1.0,1
2025-03-02,B1_optimization_only,O0001693,M000689,S0003660,C007,P07,A,A,2025-03-02,24.40006,1.0,1
2025-03-02,B1_optimization_only,O0001692,M000688,S0003661,C006,P07,B,B,2025-03-02,7.122448979591836,8.0,1
2025-03-02,B1_optimization_only,O0001692,M000688,S0003662,C006,P07,B,B,2025-03-02,7.489805918367346,5.0,1
2025-03-02,B1_optimization_only,O0001692,M000688,S0003663,C006,P07,B,B,2025-03-02,8.10206081632653,4.0,1
2025-03-02,B1_optimization_only,O0001692,M000688,S0003664,C006,P07,B,B,2025-03-02,8.959213673469389,1.0,1
2025-03-02,B1_optimization_only,O0001696,M000685,S0003665,C003,P08,A,A,2025-03-02,10.540000000000001,11.0,1
2025-03-02,B1_optimization_only,O0001696,M000685,S0003666,C003,P08,A,A,2025-03-02,11.260010000000001,4.0,1
2025-03-02,B1_optimization_only,O0001697,M000684,S0003666,C002,P08,A,A,2025-03-02,12.260010000000001,6.0,1
2025-03-02,B1_optimization_only,O0001697,M000684,S0003667,C002,P08,A,A,2025-03-02,13.46002,6.0,1
2025-03-02,B1_optimization_only,O0001697,M000684,S0003668,C002,P08,A,A,2025-03-02,15.140030000000001,3.0,1
2025-03-02,P1_proposed_dss,O0001674,M000690,S0003614,C008,P01,A,A,2025-03-02,8.266666666666667,8.0,1
2025-03-02,P1_proposed_dss,O0001675,M000692,S0003614,C010,P01,A,A,2025-03-02,9.466666666666667,28.0,1
2025-03-02,P1_proposed_dss,O0001675,M000692,S0003615,C010,P01,A,A,2025-03-02,11.466676666666666,12.0,1
2025-03-02,P1_proposed_dss,O0001675,M000692,S0003616,C010,P01,A,A,2025-03-02,26.80002,1.0,1
2025-03-02,P1_proposed_dss,O0001673,M000691,S0003618,C009,P01,B,B,2025-03-02,11.666676666666666,13.0,1
2025-03-02,P1_proposed_dss,O0001673,M000691,S0003619,C009,P01,B,B,2025-03-02,27.00002,20.0,1
2025-03-02,P1_proposed_dss,O0001676,M000687,S0003620,C005,P02,A,A,2025-03-02,8.666666666666666,32.0,1
2025-03-02,P1_proposed_dss,O0001676,M000687,S0003621,C005,P02,A,A,2025-03-02,10.666676666666666,10.0,1
2025-03-02,P1_proposed_dss,O0001678,M000685,S0003621,C003,P02,A,A,2025-03-02,11.866676666666665,5.0,1
2025-03-02,P1_proposed_dss,O0001678,M000685,S0003622,C003,P02,A,A,2025-03-02,27.20002,3.0,1
2025-03-02,P1_proposed_dss,O0001677,M000689,S0003623,C007,P02,B,B,2025-03-02,7.866666666666666,14.0,1
2025-03-02,P1_proposed_dss,O0001679,M000692,S0003623,C010,P02,B,B,2025-03-02,8.866666666666665,2.0,1
2025-03-02,P1_proposed_dss,O0001679,M000692,S0003624,C010,P02,B,B,2025-03-02,10.866676666666665,9.0,1
2025-03-02,P1_proposed_dss,O0001679,M000692,S0003625,C010,P02,B,B,2025-03-02,26.20002,1.0,1
2025-03-02,P1_proposed_dss,O0001680,M000684,S0003628,C002,P03,A,A,2025-03-02,13.075019999999999,5.0,1
2025-03-02,P1_proposed_dss,O0001682,M000686,S0003628,C004,P03,A,A,2025-03-02,11.67502,12.0,1
2025-03-02,P1_proposed_dss,O0001680,M000684,S0003629,C002,P03,A,A,2025-03-02,27.700029999999998,1.0,1
2025-03-02,P1_proposed_dss,O0001681,M000683,S0003630,C001,P03,B,B,2025-03-02,10.475,20.0,1
2025-03-02,P1_proposed_dss,O0001681,M000683,S0003631,C001,P03,B,B,2025-03-02,11.60001,10.0,1
2025-03-02,P1_proposed_dss,O0001681,M000683,S0003632,C001,P03,B,B,2025-03-02,13.475019999999999,1.0,1
2025-03-02,P1_proposed_dss,O0001681,M000683,S0003633,C001,P03,B,B,2025-03-02,28.10003,6.0,1
2025-03-02,P1_proposed_dss,O0001683,M000684,S0003634,C002,P04,A,B,2025-03-02,13.966666666666665,9.0,0
2025-03-02,P1_proposed_dss,O0001683,M000684,S0003635,C002,P04,A,B,2025-03-02,15.966676666666665,4.0,0
2025-03-02,P1_proposed_dss,O0001684,M000685,S0003635,C003,P04,A,A,2025-03-02,16.066676666666666,23.0,1
2025-03-02,P1_proposed_dss,O0001684,M000685,S0003636,C003,P04,A,A,2025-03-02,31.400019999999998,2.0,1
2025-03-02,P1_proposed_dss,O0001683,M000684,S0003637,C002,P04,B,B,2025-03-02,15.066666666666665,7.0,1
2025-03-02,P1_proposed_dss,O0001683,M000684,S0003638,C002,P04,B,B,2025-03-02,17.066676666666666,13.0,1
2025-03-02,P1_proposed_dss,O0001685,M000686,S0003639,C004,P05,A,B,2025-03-02,9.440000000000001,13.0,0
2025-03-02,P1_proposed_dss,O0001685,M000686,S0003640,C004,P05,A,B,2025-03-02,10.160010000000002,25.0,0
2025-03-02,P1_proposed_dss,O0001686,M000683,S0003640,C001,P05,A,B,2025-03-02,11.96001,6.0,0
2025-03-02,P1_proposed_dss,O0001686,M000683,S0003641,C001,P05,A,B,2025-03-02,13.16002,15.0,0
2025-03-02,P1_proposed_dss,O0001686,M000683,S0003642,C001,P05,A,B,2025-03-02,14.84003,8.0,0
2025-03-02,P1_proposed_dss,O0001686,M000683,S0003643,C001,P05,A,B,2025-03-02,29.00004,4.0,0
2025-03-02,P1_proposed_dss,O0001686,M000683,S0003644,C001,P05,B,B,2025-03-02,12.34,4.0,1
2025-03-02,P1_proposed_dss,O0001686,M000683,S0003645,C001,P05,B,B,2025-03-02,13.06001,4.0,1
2025-03-02,P1_proposed_dss,O0001686,M000683,S0003646,C001,P05,B,B,2025-03-02,14.260019999999999,3.0,1
2025-03-02,P1_proposed_dss,O0001686,M000683,S0003647,C001,P05,B,B,2025-03-02,30.10004,1.0,1
2025-03-02,P1_proposed_dss,O0001688,M000691,S0003648,C009,P06,A,B,2025-03-02,8.366666666666667,10.0,0
2025-03-02,P1_proposed_dss,O0001691,M000693,S0003648,C012,P06,A,A,2025-03-02,7.466666666666667,6.0,1
2025-03-02,P1_proposed_dss,O0001688,M000691,S0003649,C009,P06,A,B,2025-03-02,10.366676666666667,2.0,0
2025-03-02,P1_proposed_dss,O0001690,M000684,S0003649,C002,P06,A,A,2025-03-02,13.266676666666665,3.0,1
2025-03-02,P1_proposed_dss,O0001690,M000684,S0003650,C002,P06,A,A,2025-03-02,28.60002,9.0,1
2025-03-02,P1_proposed_dss,O0001687,M000685,S0003651,C003,P06,B,B,2025-03-02,10.266666666666666,8.0,1
2025-03-02,P1_proposed_dss,O0001687,M000685,S0003652,C003,P06,B,B,2025-03-02,12.266676666666665,6.0,1
2025-03-02,P1_proposed_dss,O0001687,M000685,S0003653,C003,P06,B,B,2025-03-02,27.60002,4.0,1
2025-03-02,P1_proposed_dss,O0001692,M000688,S0003654,C006,P07,A,B,2025-03-02,6.022448979591837,14.0,0
2025-03-02,P1_proposed_dss,O0001694,M000693,S0003654,C012,P07,A,A,2025-03-02,5.722448979591836,1.0,1
2025-03-02,P1_proposed_dss,O0001692,M000688,S0003655,C006,P07,A,B,2025-03-02,6.389805918367347,18.0,0
2025-03-02,P1_proposed_dss,O0001692,M000688,S0003656,C006,P07,A,B,2025-03-02,7.002060816326531,15.0,0
2025-03-02,P1_proposed_dss,O0001692,M000688,S0003657,C006,P07,A,B,2025-03-02,7.859213673469388,1.0,0
2025-03-02,P1_proposed_dss,O0001693,M000689,S0003657,C007,P07,A,A,2025-03-02,8.359213673469387,14.0,1
2025-03-02,P1_proposed_dss,O0001693,M000689,S0003658,C007,P07,A,A,2025-03-02,9.461264489795917,7.0,1
2025-03-02,P1_proposed_dss,O0001693,M000689,S0003659,C007,P07,A,A,2025-03-02,10.80821326530612,1.0,1
2025-03-02,P1_proposed_dss,O0001693,M000689,S0003660,C007,P07,A,A,2025-03-02,24.40006,1.0,1
2025-03-02,P1_proposed_dss,O0001692,M000688,S0003661,C006,P07,B,B,2025-03-02,7.122448979591836,8.0,1
2025-03-02,P1_proposed_dss,O0001692,M000688,S0003662,C006,P07,B,B,2025-03-02,7.489805918367346,5.0,1
2025-03-02,P1_proposed_dss,O0001692,M000688,S0003663,C006,P07,B,B,2025-03-02,8.10206081632653,4.0,1
2025-03-02,P1_proposed_dss,O0001692,M000688,S0003664,C006,P07,B,B,2025-03-02,8.959213673469389,1.0,1
2025-03-02,P1_proposed_dss,O0001695,M000692,S0003666,C010,P08,A,A,2025-03-02,10.260010000000001,3.0,1
2025-03-02,P1_proposed_dss,O0001696,M000685,S0003666,C003,P08,A,A,2025-03-02,11.260010000000001,6.0,1
2025-03-02,P1_proposed_dss,O0001696,M000685,S0003667,C003,P08,A,A,2025-03-02,12.46002,6.0,1
2025-03-02,P1_proposed_dss,O0001696,M000685,S0003668,C003,P08,A,A,2025-03-02,14.140030000000001,3.0,1
2025-03-02,P1_proposed_dss,O0001697,M000684,S0003669,C002,P08,B,B,2025-03-02,11.540000000000001,5.0,1
2025-03-02,P1_proposed_dss,O0001697,M000684,S0003670,C002,P08,B,B,2025-03-02,12.260010000000001,1.0,1
2025-03-02,P1_proposed_dss,O0001697,M000684,S0003671,C002,P08,B,B,2025-03-02,13.46002,3.0,1
2025-03-02,P1_proposed_dss,O0001697,M000684,S0003672,C002,P08,B,B,2025-03-02,15.140030000000001,1.0,1
2025-03-03,B0_manual,O0001713,M000694,S0003695,C001,P04,B,B,2025-03-03,,12.0,1
2025-03-03,B0_manual,O0001717,M000694,S0003703,C001,P05,B,B,2025-03-03,,15.0,1
2025-03-03,B0_manual,O0001717,M000694,S0003704,C001,P05,B,B,2025-03-03,,19.0,1
2025-03-03,B0_manual,O0001698,M000695,S0003673,C002,P01,A,A,2025-03-03,,39.0,1
2025-03-03,B0_manual,O0001698,M000695,S0003674,C002,P01,A,A,2025-03-03,,24.0,1
2025-03-03,B0_manual,O0001698,M000695,S0003675,C002,P01,A,A,2025-03-03,,11.0,1
2025-03-03,B0_manual,O0001706,M000695,S0003689,C002,P03,B,B,2025-03-03,,8.0,1
2025-03-03,B0_manual,O0001706,M000695,S0003690,C002,P03,B,B,2025-03-03,,3.0,1
2025-03-03,B0_manual,O0001706,M000695,S0003691,C002,P03,B,B,2025-03-03,,1.0,1
2025-03-03,B0_manual,O0001719,M000695,S0003704,C002,P05,B,B,2025-03-03,,7.0,1
2025-03-03,B0_manual,O0001719,M000695,S0003705,C002,P05,B,B,2025-03-03,,1.0,1
2025-03-03,B0_manual,O0001719,M000695,S0003706,C002,P05,B,B,2025-03-03,,4.0,1
2025-03-03,B0_manual,O0001722,M000695,S0003711,C002,P06,B,B,2025-03-03,,6.0,1
2025-03-03,B0_manual,O0001722,M000695,S0003712,C002,P06,B,B,2025-03-03,,2.0,1
2025-03-03,B0_manual,O0001729,M000695,S0003730,C002,P08,B,B,2025-03-03,,4.0,1
2025-03-03,B0_manual,O0001729,M000695,S0003731,C002,P08,B,B,2025-03-03,,1.0,1
2025-03-03,B0_manual,O0001699,M000696,S0003675,C004,P01,A,A,2025-03-03,,12.0,1
2025-03-03,B0_manual,O0001701,M000696,S0003682,C004,P02,B,B,2025-03-03,,3.0,1
2025-03-03,B0_manual,O0001707,M000696,S0003685,C004,P03,A,A,2025-03-03,,25.0,1
2025-03-03,B0_manual,O0001703,M000697,S0003679,C005,P02,A,A,2025-03-03,,15.0,1
2025-03-03,B0_manual,O0001703,M000697,S0003680,C005,P02,A,A,2025-03-03,,7.0,1
2025-03-03,B0_manual,O0001703,M000697,S0003681,C005,P02,A,A,2025-03-03,,3.0,1
2025-03-03,B0_manual,O0001709,M000697,S0003685,C005,P03,A,A,2025-03-03,,4.0,1
2025-03-03,B0_manual,O0001709,M000697,S0003686,C005,P03,A,A,2025-03-03,,27.0,1
2025-03-03,B0_manual,O0001709,M000697,S0003687,C005,P03,A,A,2025-03-03,,5.0,1
2025-03-03,B0_manual,O0001709,M000697,S0003688,C005,P03,A,A,2025-03-03,,2.0,1
2025-03-03,B0_manual,O0001714,M000697,S0003693,C005,P04,A,A,2025-03-03,,4.0,1
2025-03-03,B0_manual,O0001716,M000697,S0003706,C005,P05,B,B,2025-03-03,,5.0,1
2025-03-03,B0_manual,O0001716,M000697,S0003707,C005,P05,B,B,2025-03-03,,2.0,1
2025-03-03,B0_manual,O0001723,M000697,S0003718,C005,P07,B,B,2025-03-03,,7.0,1
2025-03-03,B0_manual,O0001723,M000697,S0003719,C005,P07,B,B,2025-03-03,,5.0,1
2025-03-03,B0_manual,O0001710,M000698,S0003693,C006,P04,A,A,2025-03-03,,23.0,1
2025-03-03,B0_manual,O0001726,M000698,S0003719,C006,P07,B,B,2025-03-03,,4.0,1
2025-03-03,B0_manual,O0001726,M000698,S0003720,C006,P07,B,B,2025-03-03,,9.0,1
2025-03-03,B0_manual,O0001726,M000698,S0003721,C006,P07,B,B,2025-03-03,,3.0,1
2025-03-03,B0_manual,O0001728,M000698,S0003731,C006,P08,B,B,2025-03-03,,2.0,1
2025-03-03,B0_manual,O0001728,M000698,S0003732,C006,P08,B,B,2025-03-03,,1.0,1
2025-03-03,B0_manual,O0001700,M000699,S0003676,C007,P01,B,B,2025-03-03,,12.0,1
2025-03-03,B0_manual,O0001721,M000699,S0003708,C007,P06,A,A,2025-03-03,,9.0,1
2025-03-03,B0_manual,O0001721,M000699,S0003709,C007,P06,A,A,2025-03-03,,12.0,1
2025-03-03,B0_manual,O0001724,M000699,S0003721,C007,P07,B,B,2025-03-03,,6.0,1
2025-03-03,B0_manual,O0001724,M000699,S0003722,C007,P07,B,B,2025-03-03,,5.0,1
2025-03-03,B0_manual,O0001724,M000699,S0003723,C007,P07,B,B,2025-03-03,,1.0,1
2025-03-03,B0_manual,O0001730,M000699,S0003725,C007,P08,A,A,2025-03-03,,4.0,1
2025-03-03,B0_manual,O0001712,M000700,S0003695,C008,P04,B,B,2025-03-03,,3.0,1
2025-03-03,B0_manual,O0001725,M000700,S0003723,C008,P07,B,B,2025-03-03,,4.0,1
2025-03-03,B0_manual,O0001725,M000700,S0003724,C008,P07,B,B,2025-03-03,,2.0,1
2025-03-03,B0_manual,O0001725,M000700,S0003713,C008,P07,A,B,2025-03-03,,17.0,0
2025-03-03,B0_manual,O0001725,M000700,S0003714,C008,P07,A,B,2025-03-03,,8.0,0
2025-03-03,B0_manual,O0001725,M000700,S0003715,C008,P07,A,B,2025-03-03,,4.0,0
2025-03-03,B0_manual,O0001725,M000700,S0003716,C008,P07,A,B,2025-03-03,,11.0,0
2025-03-03,B0_manual,O0001725,M000700,S0003717,C008,P07,A,B,2025-03-03,,5.0,0
2025-03-03,B0_manual,O0001705,M000701,S0003691,C009,P03,B,B,2025-03-03,,8.0,1
2025-03-03,B0_manual,O0001705,M000701,S0003692,C009,P03,B,B,2025-03-03,,1.0,1
2025-03-03,B0_manual,O0001711,M000702,S0003693,C010,P04,A,A,2025-03-03,,15.0,1
2025-03-03,B0_manual,O0001711,M000702,S0003694,C010,P04,A,A,2025-03-03,,5.0,1
2025-03-03,B0_manual,O0001720,M000703,S0003709,C011,P06,A,A,2025-03-03,,4.0,1
2025-03-03,B0_manual,O0001720,M000703,S0003710,C011,P06,A,A,2025-03-03,,3.0,1
2025-03-03,B0_manual,O0001704,M000704,S0003682,C012,P02,B,B,2025-03-03,,12.0,1
2025-03-03,B0_manual,O0001704,M000704,S0003683,C012,P02,B,B,2025-03-03,,3.0,1
2025-03-03,B1_optimization_only,O0001698,M000695,S0003673,C002,P01,A,A,2025-03-03,11.466666666666667,27.0,1
2025-03-03,B1_optimization_only,O0001699,M000696,S0003673,C004,P01,A,A,2025-03-03,10.066666666666666,12.0,1
2025-03-03,B1_optimization_only,O0001698,M000695,S0003674,C002,P01,A,A,2025-03-03,13.466676666666666,24.0,1
2025-03-03,B1_optimization_only,O0001698,M000695,S0003675,C002,P01,A,A,2025-03-03,28.80002,23.0,1
