rating_id,user_id,allocation_date,order_line_id,clarity,factual_correctness,usefulness,review_confidence,overall_usability,comment_code
R00096,U03,2025-03-02,O0001686,4,5,4,5,4,CLEAR_AND_USEFUL
R00097,U03,2025-03-09,O0001878,4,5,3,4,4,SHORTFALL_CLEAR
R00098,U03,2025-03-06,O0001802,3,5,4,4,4,CLEAR_AND_USEFUL
R00099,U03,2025-03-12,O0001954,5,5,4,5,5,CLEAR_AND_USEFUL
R00100,U03,2025-03-27,O0002372,4,4,5,4,4,SHORTFALL_CLEAR
R00101,U03,2025-03-09,O0001868,5,4,4,4,4,SHORTFALL_CLEAR
R00102,U03,2025-03-23,O0002271,4,5,3,4,4,SHORTFALL_CLEAR
R00103,U03,2025-03-09,O0001880,4,4,4,3,4,SHORTFALL_CLEAR
R00104,U03,2025-03-23,O0002279,5,4,4,3,4,CLEAR_AND_USEFUL
R00105,U03,2025-03-22,O0002252,4,4,5,4,5,CLEAR_AND_USEFUL
R00106,U03,2025-03-10,O0001908,4,5,5,4,5,CLEAR_AND_USEFUL
R00107,U03,2025-03-11,O0001929,4,4,5,4,4,CLEAR_AND_USEFUL
R00108,U03,2025-03-10,O0001891,5,5,4,4,5,CLEAR_AND_USEFUL
R00109,U04,2025-03-14,O0002015,3,4,5,4,4,SHORTFALL_CLEAR
R00110,U04,2025-03-30,O0002465,4,4,5,5,5,CLEAR_AND_USEFUL
R00111,U04,2025-03-02,O0001686,4,5,4,4,4,CLEAR_AND_USEFUL
R00112,U04,2025-03-28,O0002416,5,4,4,4,4,CLEAR_AND_USEFUL
R00113,U04,2025-03-09,O0001889,4,4,4,4,4,CLEAR_AND_USEFUL
R00114,U04,2025-03-14,O0002019,4,5,5,4,5,CLEAR_AND_USEFUL
R00115,U04,2025-03-08,O0001865,4,5,4,5,4,SHORTFALL_CLEAR
R00116,U04,2025-03-25,O0002319,4,4,4,4,4,SHORTFALL_CLEAR
R00117,U04,2025-03-18,O0002136,4,4,5,4,4,CLEAR_AND_USEFUL
R00118,U04,2025-03-21,O0002209,4,5,4,5,4,CLEAR_AND_USEFUL
R00119,U04,2025-03-30,O0002453,4,5,4,4,4,CLEAR_AND_USEFUL
R00120,U04,2025-03-06,O0001802,4,5,4,3,4,CLEAR_AND_USEFUL
R00121,U04,2025-03-30,O0002478,4,5,5,4,4,SHORTFALL_CLEAR
R00122,U04,2025-03-27,O0002381,5,4,3,4,4,SHORTFALL_CLEAR
R00123,U04,2025-03-12,O0001958,4,4,3,5,4,CLEAR_AND_USEFUL
R00124,U04,2025-03-02,O0001695,4,5,4,5,5,CLEAR_AND_USEFUL
R00125,U04,2025-03-04,O0001754,5,5,4,4,5,CLEAR_AND_USEFUL
R00126,U04,2025-03-20,O0002188,4,4,4,5,4,CLEAR_AND_USEFUL
R00127,U04,2025-03-17,O0002110,4,5,4,4,4,CLEAR_AND_USEFUL
R00128,U04,2025-03-29,O0002424,4,5,5,3,4,CLEAR_AND_USEFUL
R00129,U04,2025-03-07,O0001834,5,4,4,4,4,CLEAR_AND_USEFUL
R00130,U04,2025-03-07,O0001824,4,5,4,5,5,CLEAR_AND_USEFUL
R00131,U04,2025-03-15,O0002055,5,4,4,4,4,CLEAR_AND_USEFUL
R00132,U04,2025-03-12,O0001954,4,4,4,5,4,CLEAR_AND_USEFUL
R00133,U04,2025-03-12,O0001960,5,5,4,5,5,SHORTFALL_CLEAR
R00134,U04,2025-03-28,O0002402,5,5,5,5,5,CLEAR_AND_USEFUL
R00135,U04,2025-03-07,O0001833,4,4,4,4,4,CLEAR_AND_USEFUL
R00136,U04,2025-03-19,O0002164,3,3,3,3,3,CHECK_SOURCE_DATA
R00137,U04,2025-03-14,O0002020,4,5,5,4,5,SHORTFALL_CLEAR
R00138,U04,2025-03-27,O0002379,4,5,5,5,5,SHORTFALL_CLEAR
R00139,U04,2025-03-09,O0001878,4,5,5,4,4,SHORTFALL_CLEAR
R00140,U04,2025-03-28,O0002394,4,4,4,4,4,SHORTFALL_CLEAR
R00141,U04,2025-03-08,O0001838,5,5,5,3,4,CLEAR_AND_USEFUL
R00142,U04,2025-03-23,O0002279,4,4,4,4,4,CLEAR_AND_USEFUL
R00143,U04,2025-03-26,O0002350,5,4,5,4,5,SHORTFALL_CLEAR
R00144,U04,2025-03-18,O0002134,4,5,4,3,4,CLEAR_AND_USEFUL
R00145,U05,2025-03-28,O0002415,5,4,4,5,4,CLEAR_AND_USEFUL
R00146,U05,2025-03-23,O0002271,5,5,4,5,5,SHORTFALL_CLEAR
R00147,U05,2025-03-29,O0002433,4,4,5,5,4,CLEAR_AND_USEFUL
R00148,U05,2025-03-06,O0001800,4,5,5,4,4,CLEAR_AND_USEFUL
R00149,U05,2025-03-22,O0002252,3,5,4,4,4,CLEAR_AND_USEFUL
R00150,U05,2025-03-29,O0002426,4,4,4,4,4,CLEAR_AND_USEFUL
R00151,U05,2025-03-06,O0001802,4,5,4,3,4,CLEAR_AND_USEFUL
R00152,U05,2025-03-06,O0001810,5,5,5,4,5,CLEAR_AND_USEFUL
R00153,U05,2025-03-30,O0002458,4,5,4,4,4,CLEAR_AND_USEFUL
R00154,U05,2025-03-23,O0002270,4,4,4,4,4,SHORTFALL_CLEAR
R00155,U05,2025-03-13,O0002005,4,4,4,4,4,CLEAR_AND_USEFUL
R00156,U05,2025-03-14,O0002019,5,5,3,4,4,CLEAR_AND_USEFUL
R00157,U05,2025-03-02,O0001673,4,4,3,5,4,CLEAR_AND_USEFUL
R00158,U05,2025-03-09,O0001880,4,5,5,4,5,SHORTFALL_CLEAR
R00159,U05,2025-03-03,O0001723,5,5,4,4,4,CLEAR_AND_USEFUL
R00160,U05,2025-03-09,O0001878,5,4,4,5,5,SHORTFALL_CLEAR
R00161,U05,2025-03-14,O0002015,4,4,5,5,5,SHORTFALL_CLEAR
R00162,U05,2025-03-28,O0002394,4,4,4,5,4,SHORTFALL_CLEAR
R00163,U05,2025-03-07,O0001820,4,4,4,4,3,CLEAR_AND_USEFUL
R00164,U05,2025-03-14,O0002034,4,4,3,4,4,CLEAR_AND_USEFUL
R00165,U05,2025-03-15,O0002062,4,4,3,4,4,SHORTFALL_CLEAR
R00166,U05,2025-03-25,O0002319,4,5,4,4,4,SHORTFALL_CLEAR
R00167,U05,2025-03-19,O0002166,5,5,5,4,5,CLEAR_AND_USEFUL
R00168,U05,2025-03-16,O0002092,4,5,5,4,4,SHORTFALL_CLEAR
R00169,U05,2025-03-02,O0001689,4,4,4,3,4,SHORTFALL_CLEAR
R00170,U05,2025-03-11,O0001940,4,5,4,3,4,CLEAR_AND_USEFUL
R00171,U05,2025-03-14,O0002020,4,4,5,4,4,SHORTFALL_CLEAR
R00172,U05,2025-03-30,O0002478,4,5,4,4,4,SHORTFALL_CLEAR
R00173,U05,2025-03-07,O0001811,4,4,4,3,3,CLEAR_AND_USEFUL
R00174,U05,2025-03-19,O0002148,4,5,4,5,5,CLEAR_AND_USEFUL
R00175,U05,2025-03-29,O0002424,4,4,5,4,4,CLEAR_AND_USEFUL
R00176,U05,2025-03-08,O0001865,3,4,4,4,4,SHORTFALL_CLEAR
R00177,U05,2025-03-27,O0002379,5,5,5,3,4,SHORTFALL_CLEAR
R00178,U05,2025-03-21,O0002221,4,4,5,5,4,CLEAR_AND_USEFUL
R00179,U05,2025-03-06,O0001798,5,5,4,3,4,SHORTFALL_CLEAR
R00180,U05,2025-03-12,O0001954,4,3,5,5,4,CLEAR_AND_USEFUL
